Deck / Theme,Sequence / Q#,Category / Domain,Difficulty,Question Type,Question,Answer,The Link,Notes / Hidden Chain,Connection Type,Franchise / IP,Status / Playtested,Safety Checks Passed,Sub-Theme
,,Animation,Fan (Level 2),Standard,What is Wilma Flintstone’s maiden name?,Slaghoople,,,,,,FALSE,
,,Animation,Fan (Level 2),Standard,"In Rocky and Bullwinkle, what are the surnames of the villain spies, Boris and Natasha?",Badenov & Fatale,,,,,,FALSE,
,,Animation,Casual (Level 1),Standard,What fictional country are Boris and Natasha from?,Pottsylvania,,,,,,FALSE,
,,Video Games,Casual (Level 1),List Question,Name the four ghosts from Pac-Man.,"Blinky, Pinky, Inky, and Clyde",,,,,,FALSE,
,,Animation,Casual (Level 1),Standard,"In Animaniacs, which of the Warners speaks like Ringo Starr?",Wakko Warner,,,,,,FALSE,
,,Video Games,Fan (Level 2),List Question,Name the three main human characters from the 1993 video game Day of the Tentacle.,"Bernard, Hoagie, and Laverne",,,,,,FALSE,
,,Video Games / Animation,Fan (Level 2),Standard,"Of the video game and cartoon characters Sam & Max, which one is a ""rabbit""?","Max (he is described as a ""hyperkinetic, three-foot rabbity thing"")",,,,,,FALSE,
,,Wrestling,Hardcore (Level 3),List Question,Name three of the six wrestlers that would go on to join the faction called Retribution.,"Mustafa Ali, Dio Maddin (Mace), Mia Yim (Reckoning), Shane Thorne (Slapjack), Christopher Dijak (T-Bar), Mercedes Martinez (Retaliation)",,,,,,FALSE,
,,Wrestling,Hardcore (Level 3),Standard,How many televised Hell In A Cell matches occurred before it became its own standalone Pay-Per-View event?,16,,,,,,FALSE,
,,Video Games / Wrestling,Fan (Level 2),Standard,Who are the hosts of the YouTube gaming channel UpUpDownDown?,Austin Watson/Creed (Superstar Xavier Woods) & Mattias Clement (Superstar Tyler Breeze),,,,,,FALSE,
,,Animation,Hardcore (Level 3),List Question,"Name all the ""Road to..."" episodes from Family Guy.","""Road to Rhode Island"", ""Road to Europe"", ""Road to Rupert"", ""Road to Germany"", ""Road to the Multiverse"", ""Road to the North Pole"", ""Roads to Vegas"", ""Road to India""",,,,,,FALSE,
,,Animation,Fan (Level 2),Standard,"In South Park, who are Stan Marsh’s parents and his sister?","Randy, Sharon, and Shelly",,,,,,FALSE,
Sample Chain,Q1,Animation,Casual (Level 1),Standard,"In the 1992 Disney film Aladdin, who provides the voice for the Genie?",Robin Williams.,"Robin Williams was a huge fan of video games, even naming his daughter after a famous princess.",,,,,FALSE,
Sample Chain,Q2,Video Games,Fan (Level 2),Standard,"Robin Williams named his daughter Zelda. In The Legend of Zelda: Ocarina of Time, what specific type of instrument is the Ocarina?","A wind instrument (or specifically, a Vessel Flute).","Speaking of wind instruments, this wrestling tag team famously played the trombone and used a ""Time Machine"" in a skit.",,,,,FALSE,
Sample Chain,Q3,Wrestling,Hardcore (Level 3),List Question,"Name all three members of the faction ""The New Day.""","Big E, Kofi Kingston, Xavier Woods.",Member Xavier Woods runs a popular YouTube gaming channel called UpUpDownDown.,,,,,FALSE,
Sample Chain,Q4,Video Games,Fan (Level 2),Standard,"Because of his gaming fame, Xavier Woods appears as a playable guest character in Gears 5. Who is the main female protagonist of Gears 5?",Kait Diaz.,,,,,,FALSE,
Certain Years & Decades,,,,,,,,,,,Draft,FALSE,
Region-Based,,,,,,,,,,,Draft,FALSE,
Known By Another Name,,,,,,,,,,,Draft,FALSE,
Colours & Music,,,,,,,,,,,Draft,FALSE,
Double Cross(overs),,,,,,,,,,,Draft,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,FALSE,
